7zip 26.00-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.24-1
gst-plugin-pipewire 1:1.6.2-1
gst-plugins-base 1.28.1-1
gst-plugins-base-libs 1.28.1-1
gstreamer 1.28.1-1
gtest 1.17.0-2
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtkmm3 3.24.10-1
guile 3.0.11-1
gzip 1.14-2
harfbuzz 13.2.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
htop 3.4.1-1
hunspell 1.7.2-3
hwdata 0.405-1
hwloc 2.13.0-1
hyprcursor 0.1.13-4
hyprgraphics 0.5.0-2
hyprland 0.54.2-2
hyprland-guiutils 0.2.1-2
hyprlang 0.6.8-2
hyprlauncher 0.1.5-2
hyprtoolkit 0.5.3-1
hyprutils 0.11.1-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-1
i2c-tools 4.4-4
iana-etc 20260306-1
icu 78.3-1
iio-sensor-proxy 3.9-1
imagemagick 7.1.2.17-1
imath 3.2.2-3
imlib2 1.12.6-1
impala 0.7.4-1
iniparser 4.2.6-2
intel-gmmlib 22.9.0-2
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
iproute2 6.19.0-2
iptables 1:1.8.11-4
iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.8-1
jbigkit 2.1-8
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
julia 2:1.12.5-1
kaccounts-integration 25.12.3-1
kactivitymanagerd 6.6.3-1
karchive 6.24.0-2
kate 25.12.3-1
kauth 6.24.0-2
kbd 2.9.0-1
kbookmarks 6.24.0-1
kcmutils 6.24.0-1
kcodecs 6.24.0-1
kcolorscheme 6.24.0-1
kcompletion 6.24.0-1
kconfig 6.24.0-1
kconfigwidgets 6.24.0-1
kcoreaddons 6.24.0-1
kcrash 6.24.0-1
kdbusaddons 6.24.0-1
kde-cli-tools 6.6.3-1
kde-gtk-config 6.6.3-1
kdeclarative 6.24.0-1
kdecoration 6.6.3-1
kded 6.24.0-1
kdeplasma-addons 6.6.3-1
kdesu 6.24.0-1
kdnssd 6.24.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-3
kfilemetadata 6.24.0-1
kglobalaccel 6.24.0-1
kglobalacceld 6.6.3-1
kguiaddons 6.24.0-1
kholidays 1:6.24.0-1
ki18n 6.24.0-1
kiconthemes 6.24.0-1
kidletime 6.24.0-1
kimageformats 6.24.0-1
kinfocenter 6.6.3-1
kio 6.24.0-1
kio-extras 25.12.3-1
kio-fuse 5.1.1-1
kirigami 6.24.0-1
kirigami-addons 1.12.0-1
kitemmodels 6.24.0-1
kitemviews 6.24.0-1
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.24.0-1
kmenuedit 6.6.3-1
kmod 34.2-1
knewstuff 6.24.0-1
knighttime 6.6.3-1
knotifications 6.24.0-1
knotifyconfig 6.24.0-1
kpackage 6.24.0-1
kparts 6.24.0-1
kpipewire 6.6.3-1
kpty 6.24.0-1
kquickcharts 6.24.0-1
kquickimageeditor 0.6.1-1
krb5 1.21.3-2
krdp 6.6.3-1
krunner 6.24.0-1
kscreen 6.6.3-1
kscreenlocker 6.6.3-1
kservice 6.24.0-1
ksshaskpass 6.6.3-1
kstatusnotifieritem 6.24.0-1
ksvg 6.24.0-1
ksystemstats 6.6.3-1
ktexteditor 6.24.0-1
ktextwidgets 6.24.0-1
kunitconversion 6.24.0-1
kuserfeedback 6.24.0-1
kwallet 6.24.0-1
kwallet-pam 6.6.3-1
kwayland 6.6.3-1
kwidgetsaddons 6.24.0-1
kwin 6.6.3-1
kwindowsystem 6.24.0-1
kwrited 6.6.3-1
kxmlgui 6.24.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
